molecule_chembl_id,chemical_name,drug_name,chembl_id,disease_name,evidence,pubmed,drug_clean,disease_clean
C046983,06-Paris-LA-66 protocol,,,Precursor Cell Lymphoblastic Leukemia-Lymphoma,therapeutic,4519131,,precursor cell lymphoblastic leukemia lymphoma
C039775,"10,11-dihydro-10-hydroxycarbamazepine",,,Epilepsy,therapeutic,17516704,,epilepsy
C028098,10-hydroxycamptothecin,,,Huntington Disease,therapeutic,21909362,,huntington disease
C028098,10-hydroxycamptothecin,,,Liver Neoplasms,therapeutic,16603448,,liver neoplasms
C554291,"10-methoxy-2,2-dimethyl-2,6-dihydropyrano(3,2-c)quinolin-5-one",,,Leukemia,therapeutic,20833157,,leukemia
C521487,10-nitro-oleic acid,,,Triple Negative Breast Neoplasms,therapeutic,29158255,,triple negative breast neoplasms
C418863,10-propargyl-10-deazaaminopterin,,,"Lymphoma, Non-Hodgkin",therapeutic,16467107,,lymphoma non hodgkin
C418863,10-propargyl-10-deazaaminopterin,,,"Lymphoma, T-Cell",therapeutic,21301589,,lymphoma t cell
C065351,"1,10-diaminodecane",,,Seizures,therapeutic,9641557,,seizures
C532626,"1-(1'-(2-methylbenzyl)-1,4'-bipiperidin-4-yl)-1H-benzo(d)imidazol-2-(3H)-one",,,Cocaine-Related Disorders,therapeutic,19996296,,cocaine related disorders
C561234,"11-(2-pyrrolidin-1-ylethoxy)-14,19-dioxa-5,7,26-triazatetracyclo(19.3.1.1(2,6).1(8,12))heptacosa-1(25),2(26),3,5,8,10,12(27),16,21,23-decaene",,,Lymphoma,therapeutic,21604762,,lymphoma
C561234,"11-(2-pyrrolidin-1-ylethoxy)-14,19-dioxa-5,7,26-triazatetracyclo(19.3.1.1(2,6).1(8,12))heptacosa-1(25),2(26),3,5,8,10,12(27),16,21,23-decaene",,,Primary Myelofibrosis,therapeutic,21604762,,primary myelofibrosis
C085415,"1-(1,3-benzodioxol-5-ylcarbonyl)piperidine",,,Hyperkinesis,therapeutic,9286612,,hyperkinesis
C557705,1-(1-acetyl-piperidine-4-yl)-3-adamantan-1-yl-urea,,,Movement Disorders,therapeutic,30472438,,movement disorders
C557705,1-(1-acetyl-piperidine-4-yl)-3-adamantan-1-yl-urea,,,Poisoning,therapeutic,30472438,,poisoning
C432747,"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",,,Acute Lung Injury,therapeutic,24963491,,acute lung injury
C432747,"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",,,Cardiomyopathies,therapeutic,31220554,,cardiomyopathies
C432747,"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",,,Colitis,therapeutic,22119709,,colitis
C432747,"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",,,Extravasation of Diagnostic and Therapeutic Materials,therapeutic,22442067,,extravasation of diagnostic and therapeutic materials
C432747,"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",,,Fibrosis,therapeutic,31220554,,fibrosis
C432747,"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",,,Hyperalgesia,therapeutic,29143802,,hyperalgesia
C432747,"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",,,Hyperglycemia,therapeutic,32949586,,hyperglycemia
C432747,"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",,,Insulin Resistance,therapeutic,32949586,,insulin resistance
C432747,"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",,,Pulmonary Edema,therapeutic,24963491,,pulmonary edema
C432747,"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",,,Weight Gain,therapeutic,32949586,,weight gain
C432747,"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",,,Weight Loss,therapeutic,22119709,,weight loss
C447943,11-keto-boswellic acid,,,"Carcinoma, Ehrlich Tumor",therapeutic,21056033,,carcinoma ehrlich tumor
C447943,11-keto-boswellic acid,,,Myocardial Reperfusion Injury,therapeutic,23771412,,myocardial reperfusion injury
C447943,11-keto-boswellic acid,,,Sarcoma 180,therapeutic,21056033,,sarcoma 180
C561619,1-(1-methanesulfonylpiperidin-4-yl)-3-(4-trifluoromethoxyphenyl)urea,,,Cardiomegaly,therapeutic,21383588,,cardiomegaly
C561619,1-(1-methanesulfonylpiperidin-4-yl)-3-(4-trifluoromethoxyphenyl)urea,,,Seizures,therapeutic,25448683,,seizures
C519817,"1-(1-methylethyl)-4-((1-(6-(trifluoromethyl)-3-pyridinyl)-4-piperidinyl)carbonyl)hexahydro-1H-1,4-diazepine",,,Amnesia,therapeutic,17276409,,amnesia
C519817,"1-(1-methylethyl)-4-((1-(6-(trifluoromethyl)-3-pyridinyl)-4-piperidinyl)carbonyl)hexahydro-1H-1,4-diazepine",,,Hyperalgesia,therapeutic,17276409,,hyperalgesia
C048241,1-(1-naphthyl)piperazine,,,Feeding and Eating Disorders,therapeutic,8223940,,feeding and eating disorders
C530925,1-(2-(1-adamantyl)ethyl)-1-pentyl-3-(3-(4-pyridyl)propyl)urea,,,"Arthritis, Experimental",therapeutic,18508045,,arthritis experimental
C530925,1-(2-(1-adamantyl)ethyl)-1-pentyl-3-(3-(4-pyridyl)propyl)urea,,,"Encephalomyelitis, Autoimmune, Experimental",therapeutic,19878665,,encephalomyelitis autoimmune experimental
C534222,1-(2-((1-ethoxycarbonyloxyethoxycarbonylmethyl)carbamoyl)-3-phenylpropyldisulfanylmethyl)-3-methylsulfanylpropylamine,,,Hyperalgesia,therapeutic,18938155,,hyperalgesia
C508955,1-(2-(2-thienyl)-2-adamantyl) morpholine,,,Seizures,therapeutic,16167315,,seizures
C501656,"1,2,3,4,8,9,10,10a-octahydro-7bH-cyclopenta(b)(1,4)diazepino(6,7,1hj)indole",,,Hyperkinesis,therapeutic,19347958,,hyperkinesis
C063159,1-(2-(3-(4-methoxyphenyl)propoxy)-4-methoxyphenylethyl)-1H-imidazole,,,Hyperalgesia,therapeutic,22466128,,hyperalgesia
C014843,"1,2,3,4-tetrahydroisoquinoline",,,Substance Withdrawal Syndrome,therapeutic,18840427,,substance withdrawal syndrome
C504897,12-(3-adamantan-1-ylureido)dodecanoic acid,,,Brain Infarction,therapeutic,19435785,,brain infarction
C504897,12-(3-adamantan-1-ylureido)dodecanoic acid,,,Hyperplasia,therapeutic,28694203,,hyperplasia
C504897,12-(3-adamantan-1-ylureido)dodecanoic acid,,,Hypertension,therapeutic,15699457,,hypertension
C504897,12-(3-adamantan-1-ylureido)dodecanoic acid,,,Pulmonary Edema,therapeutic,28694203,,pulmonary edema
C504897,12-(3-adamantan-1-ylureido)dodecanoic acid,,,Pulmonary Fibrosis,therapeutic,28694203,,pulmonary fibrosis
C504897,12-(3-adamantan-1-ylureido)dodecanoic acid,,,Weight Loss,therapeutic,28694203,,weight loss
C463040,"1-(2,3-dichlorobenzoyl)-5-methoxy-2-methyl-(2-(mopholin-4-yl)ethyl)-1H-indole",,,Hyperalgesia,therapeutic,28592614,,hyperalgesia
C463040,"1-(2,3-dichlorobenzoyl)-5-methoxy-2-methyl-(2-(mopholin-4-yl)ethyl)-1H-indole",,,Pancreatic Neoplasms,therapeutic,21525939,,pancreatic neoplasms
C504317,"1-(2,3-dihydro-1,4-benzodioxin-5-yl)-4-((5-(4-fluorophenyl)-3-pyridinyl)methyl)piperazine",,,Catalepsy,therapeutic,15996562,,catalepsy
C045575,"1,2,4-triazole",,,Chemical and Drug Induced Liver Injury,therapeutic,28693887,,chemical and drug induced liver injury
C494034,"1,2,4-triazolo(1,5-c)pyrimidine",,,Catalepsy,therapeutic,19109019,,catalepsy
C087630,"1,25-dihydroxy-16-ene-vitamin D3",,,"Encephalomyelitis, Autoimmune, Experimental",therapeutic,7988477,,encephalomyelitis autoimmune experimental
C090785,"1,25-dihydroxy-24-oxo-16-ene-vitamin D3",,,"Encephalomyelitis, Autoimmune, Experimental",therapeutic,7988477,,encephalomyelitis autoimmune experimental
C003564,"1,25-dihydroxyergocalciferol",,,Postoperative Complications,therapeutic,9798688,,postoperative complications
C097949,"1,25-dihydroxyvitamin D",,,Kidney Diseases,therapeutic,19594554,,kidney diseases
C097949,"1,25-dihydroxyvitamin D",,,Proteinuria,therapeutic,19594554,,proteinuria
C097949,"1,25-dihydroxyvitamin D",CALCITRIOL,CHEMBL846,Rickets,therapeutic,15818308,calcitriol,rickets
C513234,12-acetoxyhawtriwaic acid lactone,,,Dermatitis,therapeutic,18670081,,dermatitis
C513234,12-acetoxyhawtriwaic acid lactone,,,Edema,therapeutic,16636964,,edema
C513234,12-acetoxyhawtriwaic acid lactone,,,"Hypersensitivity, Delayed",therapeutic,18670081,,hypersensitivity delayed
C513234,12-acetoxyhawtriwaic acid lactone,,,Inflammation,therapeutic,18670081,,inflammation
C513234,12-acetoxyhawtriwaic acid lactone,,,Neurogenic Inflammation,therapeutic,16636964,,neurogenic inflammation
C509618,"1-(2-amino-2-carboxyethyl)-3-(2-carboxybenzyl)pyrimidine-2,4-dione",,,Status Epilepticus,therapeutic,25689173,,status epilepticus
C503634,1-(2-amino-3-methyl-butyryl)-azetidine-2-carbonitrile,,,Hyperkinesis,therapeutic,15925329,,hyperkinesis
C070379,"1,2-bis(2-aminophenoxy)ethane N,N,N',N'-tetraacetic acid acetoxymethyl ester",,,Drug-Related Side Effects and Adverse Reactions,therapeutic,18791180,,drug related side effects and adverse reactions
C070379,"1,2-bis(2-aminophenoxy)ethane N,N,N',N'-tetraacetic acid acetoxymethyl ester",,,Kidney Diseases,therapeutic,38878560,,kidney diseases
C070379,"1,2-bis(2-aminophenoxy)ethane N,N,N',N'-tetraacetic acid acetoxymethyl ester",,,"Mercury Poisoning, Nervous System",therapeutic,18597911,,mercury poisoning nervous system
C070379,"1,2-bis(2-aminophenoxy)ethane N,N,N',N'-tetraacetic acid acetoxymethyl ester",,,Necrosis,therapeutic,15254339,,necrosis
C070379,"1,2-bis(2-aminophenoxy)ethane N,N,N',N'-tetraacetic acid acetoxymethyl ester",,,Ventricular Fibrillation,therapeutic,8238564,,ventricular fibrillation
C070379,"1,2-bis(2-aminophenoxy)ethane N,N,N',N'-tetraacetic acid acetoxymethyl ester",,,Weight Loss,therapeutic,38878560,,weight loss
C461261,(1-(2-(bis(4-fluorophenyl)methoxy)ethyl)-4-(3-hydroxy-3-phenylpropyl) piperazinyl decanoate),,,Amphetamine-Related Disorders,therapeutic,12105088,,amphetamine related disorders
C461261,(1-(2-(bis(4-fluorophenyl)methoxy)ethyl)-4-(3-hydroxy-3-phenylpropyl) piperazinyl decanoate),,,Essential Tremor,therapeutic,19497322,,essential tremor
C118156,"1,2-bis(methylsulfonyl)-1--(2-chloroethyl)-2-((1-(4-nitrophenyl)ethoxy)carbonyl)hydrazine",,,Breast Neoplasms,therapeutic,21955333,,breast neoplasms
C118156,"1,2-bis(methylsulfonyl)-1--(2-chloroethyl)-2-((1-(4-nitrophenyl)ethoxy)carbonyl)hydrazine",,,Carcinoma,therapeutic,21955333,,carcinoma
C549500,1-(2-bromophenyl)-3-(7-cyano-3H-benzotriazol-4-yl)urea,,,Hypertension,therapeutic,27678262,,hypertension
C549500,1-(2-bromophenyl)-3-(7-cyano-3H-benzotriazol-4-yl)urea,,,Vascular Remodeling,therapeutic,27678262,,vascular remodeling
C569107,"1-(2-chlorobenzyl)-5'-phenyl-3'H-spiro(indoline-3,2'-(1,3,4)thiadiazol)-2-one",,,Neoplasm Invasiveness,therapeutic,23826121,,neoplasm invasiveness
C017139,1-(2-chloroethyl)-1-nitrosourea,,,Glioblastoma,therapeutic,18089819,,glioblastoma
C017139,1-(2-chloroethyl)-1-nitrosourea,,,Melanoma,therapeutic,16557598,,melanoma
C472829,"1-(2-cyano-3,12-dioxooleana-1,9-dien-28-oyl) imidazole",,,Acute Lung Injury,therapeutic,35247504,,acute lung injury
C472829,"1-(2-cyano-3,12-dioxooleana-1,9-dien-28-oyl) imidazole",,,Chemical and Drug Induced Liver Injury,therapeutic,18417483,,chemical and drug induced liver injury
C472829,"1-(2-cyano-3,12-dioxooleana-1,9-dien-28-oyl) imidazole",,,"Liver Neoplasms, Experimental",therapeutic,21361338,,liver neoplasms experimental
C472829,"1-(2-cyano-3,12-dioxooleana-1,9-dien-28-oyl) imidazole",,,Multiple Myeloma,therapeutic,15070698,,multiple myeloma
C472829,"1-(2-cyano-3,12-dioxooleana-1,9-dien-28-oyl) imidazole",,,Neoplasms,therapeutic,21361338,,neoplasms
C487780,"1-(2-deoxy-beta-L-erythropentafuranosyl)-5-methyl-2,4(1H)-pyrimidinone",,,Hepatitis B,therapeutic,16152756,,hepatitis b
C035384,"1,2-dichloroethylene",,,"Micronuclei, Chromosome-Defective",therapeutic,32199159,,micronuclei chromosome defective
D014013,"1,2-Dihydroxybenzene-3,5-Disulfonic Acid Disodium Salt",,,Cardiomegaly,therapeutic,39214269,,cardiomegaly
D014013,"1,2-Dihydroxybenzene-3,5-Disulfonic Acid Disodium Salt",,,Cardiotoxicity,therapeutic,39214269,,cardiotoxicity
D014013,"1,2-Dihydroxybenzene-3,5-Disulfonic Acid Disodium Salt",,,Necrosis,therapeutic,19728331,,necrosis
D014013,"1,2-Dihydroxybenzene-3,5-Disulfonic Acid Disodium Salt",,,Pulmonary Fibrosis,therapeutic,21439370,,pulmonary fibrosis
D014013,"1,2-Dihydroxybenzene-3,5-Disulfonic Acid Disodium Salt",,,Weight Loss,therapeutic,39214269,,weight loss
C505980,"1-((2-dimethylamino)ethylamino)-4-(2-(3-hydroxymethylpiperidin-1-yl)ethylamino)-5,8-dihydroxyanthracene-9,10-dione",,,Ovarian Neoplasms,therapeutic,16220985,,ovarian neoplasms
D015060,"1,2-Dipalmitoylphosphatidylcholine",,,Kidney Diseases,therapeutic,1929286,,kidney diseases
D015060,"1,2-Dipalmitoylphosphatidylcholine",,,Pain,therapeutic,10910861,,pain
D015060,"1,2-Dipalmitoylphosphatidylcholine",,,"Reflex, Abnormal",therapeutic,10910861,,reflex abnormal
C568514,"1-(2-fluorophenyl)-3-(2-(morpholin-2-yl)ethyl)-1,3-dihydro-2,1,3-benzothiadiazole 2,2-dioxide",,,Pain,therapeutic,21916421,,pain
C552258,1-(2-hydroxy-1-phenylethyl)-3-(4-(pyridin-4-yl)phenyl)urea,,,"Arthritis, Experimental",therapeutic,20710117,,arthritis experimental
C552258,1-(2-hydroxy-1-phenylethyl)-3-(4-(pyridin-4-yl)phenyl)urea,,,Diabetic Neuropathies,therapeutic,20710117,,diabetic neuropathies
C002448,"1,2-linoleoylphosphatidylcholine",,,Learning Disabilities,therapeutic,19100751,,learning disabilities
C002448,"1,2-linoleoylphosphatidylcholine",,,Memory Disorders,therapeutic,19100751,,memory disorders
C058895,1-(2-methoxyphenyl)-4-(4-(2-phthalimido)butyl)piperazine,,,Amnesia,therapeutic,17369909,,amnesia
C058895,1-(2-methoxyphenyl)-4-(4-(2-phthalimido)butyl)piperazine,,,Hyperkinesis,therapeutic,15213358,,hyperkinesis
C427703,"1-(2-methoxy-phenyl)-4-(4-(4-(6-imidazol(2,1-b) thiazolyl)-phenoxy)-butyl-4-(14)C)-piperazine dimethane",,,Amnesia,therapeutic,15619116,,amnesia
C427703,"1-(2-methoxy-phenyl)-4-(4-(4-(6-imidazol(2,1-b) thiazolyl)-phenoxy)-butyl-4-(14)C)-piperazine dimethane",,,Learning Disabilities,therapeutic,15619116,,learning disabilities
C420062,"1-(2-methylbenzoxazol-6-yl)-3-(1,5)naphthyridin-4-yl urea",,,Amphetamine-Related Disorders,therapeutic,19737591,,amphetamine related disorders
C420062,"1-(2-methylbenzoxazol-6-yl)-3-(1,5)naphthyridin-4-yl urea",,,Binge-Eating Disorder,therapeutic,26589243,,binge eating disorder
C420062,"1-(2-methylbenzoxazol-6-yl)-3-(1,5)naphthyridin-4-yl urea",,,Cocaine-Related Disorders,therapeutic,19591850,,cocaine related disorders
C420062,"1-(2-methylbenzoxazol-6-yl)-3-(1,5)naphthyridin-4-yl urea",,,"Dyskinesia, Drug-Induced",therapeutic,19737591,,dyskinesia drug induced
